title;director;year;actor;actress
The Good, the Bad and the Ugly;Sergio Leone;1966;Lee Van Cleef;Serena Canevari
Once Upon a Time in the West;Sergio Leone;1968;Henry Fonda;Claudia Cardinale
Duck, You Sucker;Sergio Leone;1971;Rod Steiger;Maria Monti
Once Upon a Time in America;Sergio Leone;1984;Reuben Gonzalez;Elizabeth McGovern
Rashomon;Akira Kurosawa;1950;Minoru Chiaki;Noriko Honma
The Hidden Fortress;Akira Kurosawa;1958;Minoru Chiaki;Toshiko Higuchi
Kagemusha;Akira Kurosawa;1980;Kai Atô;Kumeko Otowa
Ran;Akira Kurosawa;1985;Masuo Amada;Yoshiko Miyazaki
Raiders of the Lost Ark;Steven Spielberg;1981;Harrison Ford;Dorothy Marchini
E.T. the Extra-Terrestrial;Steven Spielberg;1982;Henry Thomas;Erika Eleniak
Schindler's List;Steven Spielberg;1993;Liam Neeson;Jessica Capshaw
Saving Private Ryan;Steven Spielberg;1998;Tom Hanks;Sandina Bailo-Lape
THX 1138;George Lucas;1971;Mello Alexandria;Brandyn Barbara Artis
American Graffiti;George Lucas;1973;Richard Dreyfuss;Suzanne Somers
Star Wars;George Lucas;1977;Alec Guinness;Carrie Fisher
Raiders of the Lost Ark;George Lucas;1981;Harrison Ford;Dorothy Marchini
The Seventh Seal;Ingmar Bergman;1957;Bertil Anderberg;Bibi Andersson
Wild Strawberries;Ingmar Bergman;1957;Karl-Arne Bergman;Bibi Andersson
Cries & Whispers;Ingmar Bergman;1972;Anders Ek;Harriet Andersson
Fanny and Alexander;Ingmar Bergman;1982;Kristian Almgren;Viola Aberlé
Edward Scissorhands;Tim Burton;1990;Carmen J. Alexander;Caroline Aaron
Ed Wood;Tim Burton;1994;Vincent D'Onofrio;Salwa Ali
Corpse Bride;Tim Burton;2005;Stephen Ballantyne;Jane Horrocks
Frankenweenie;Tim Burton;2012;Roy Bell;Catherine O'Hara
Following;Christopher Nolan;1998;David Bovill;Lucy Russell
The Prestige;Christopher Nolan;2006;David Bowie;Piper Perabo
Interstellar;Christopher Nolan;2014;John Lithgow;Jill Christensen
Dunkirk;Christopher Nolan;2017;Erik Aude;Catherine Deserbais
Aliens;James Cameron;1986;Bill Paxton;Jenette Goldstein
Terminator 2: Judgment Day;James Cameron;1991;Edward Furlong;Linda Hamilton
Titanic;James Cameron;1997;Leonardo DiCaprio;Kate Winslet
Avatar;James Cameron;2009;Giovanni Ribisi;Sigourney Weaver
Blade Runner;Ridley Scott;1982;Brion James;Joanna Cassidy
Thelma & Louise;Ridley Scott;1991;Jason Beghe;Geena Davis
Gladiator;Ridley Scott;2000;Russell Crowe;Connie Nielsen
The Martian;Ridley Scott;2015;Matt Damon;Amy Arce
Se7en;David Fincher;1995;Morgan Freeman;Dominique Jennings
Zodiac;David Fincher;2007;José Feliciano;Lynn Anderson
The Social Network;David Fincher;2010;Justin Timberlake;Monique Edwards
Gone Girl;David Fincher;2014;Ben Affleck;Sela Ward
Bad Taste;Peter Jackson;1987;Ken Hammon;Caroline Girdlestone
The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;2001;Sean Bean;Liv Tyler
The Lord of the Rings: The Return of the King;Peter Jackson;2003;Ian Holm;Liv Tyler
King Kong;Peter Jackson;2005;Pip Mushin;Jacqui Allen
Mean Streets;Martin Scorsese;1973;Robert De Niro;Juli Andelman
Taxi Driver;Martin Scorsese;1976;Robert De Niro;Cybill Shepherd
Goodfellas;Martin Scorsese;1990;Ray Liotta;Nicole Burdette
Silence;Martin Scorsese;2016;David Webb;Yoriko Dôguchi
ITV Playhouse;James Cameron;1967;Leslie Anderson;Verity Bargate
Screenplay;James Cameron;1979;Frank Crompton;Naomi Buch
One Flew Over the Cuckoo's Nest;Milos Forman;1975;Jack Nicholson;Louise Fletcher
Hair;Milos Forman;1979;John Savage;Beverly D'Angelo
Amadeus;Milos Forman;1984;Jeffrey Jones;Elizabeth Berridge
The People vs. Larry Flynt;Milos Forman;1996;Richard Paul;Courtney Love
2001: A Space Odyssey;Stanley Kubrick;1968;Keir Dullea;Penny Brahms
A Clockwork Orange;Stanley Kubrick;1971;Malcolm McDowell;Jan Adair
Barry Lyndon;Stanley Kubrick;1975;David Berglas;Marisa Berenson
Eyes Wide Shut;Stanley Kubrick;1999;Chris Isaak;Clark Hayes
Unforgiven;Clint Eastwood;1992;Gene Hackman;Frances Fisher
The Bridges of Madison County;Clint Eastwood;1995;Art Breese;Maria Callas
Million Dollar Baby;Clint Eastwood;2004;Morgan Freeman;Hilary Swank
Gran Torino;Clint Eastwood;2008;Bill Gerber;Geraldine Hughes
Annie Hall;Woody Allen;1977;Gary Allen;Shelley Duvall
Manhattan;Woody Allen;1979;Brian Hamill;Mariel Hemingway
Hannah and Her Sisters;Woody Allen;1986;Paul Bates;Mia Farrow
Crimes and Misdemeanors;Woody Allen;1989;Alan Alda;Mia Farrow
Twin Peaks;David Lynch;1990;Dana Ashbrook;Sherilyn Fenn
Twin Peaks: Fire Walk with Me;David Lynch;1992;Dana Ashbrook;Peggy Lipton
Mulholland Dr.;David Lynch;2001;Dan Hedaya;Kate Forster
Inland Empire;David Lynch;2006;Ian Abercrombie;Karen Baird
Lock, Stock and Two Smoking Barrels;Guy Ritchie;1998;Vinnie Jones;Emma Buckley
Snatch;Guy Ritchie;2000;Dennis Farina;Teena Collins
Sherlock Holmes;Guy Ritchie;2009;Robert Downey Jr.;Jenny Beavan
The Man from U.N.C.L.E.;Guy Ritchie;2015;Giorgio Antonini;Simona Caparrini
El Mariachi;Robert Rodriguez;1992;Carlos Gallardo;María Castillo
Spy Kids 2: Island of Lost Dreams;Robert Rodriguez;2002;Roy Burger;Angela Lanza
Sin City: A Dame to Kill For;Robert Rodriguez;2014;Alcides Dias;Jessica Bradley
Planet Terror;Robert Rodriguez;2007;Naveen Andrews;Rose McGowan
The Lady Vanishes;Alfred Hitchcock;1938;Emile Boreo;Mary Clare
Vertigo;Alfred Hitchcock;1958;Jack Ano;Barbara Bel Geddes
North by Northwest;Alfred Hitchcock;1959;Cary Grant;Eva Marie Saint
Psycho;Alfred Hitchcock;1960;Martin Balsam;Janet Leigh
Fargo;Joel Coen;1996;William H. Macy;Frances McDormand
A Serious Man;Joel Coen;2009;Scott Thompson Baker;Katherine Borowitz
Inside Llewyn Davis;Joel Coen;2013;Justin Timberlake;Robin Bartlett
The Ballad of Buster Scruggs;Joel Coen;2018;James 'Scotty' Augare;Sylvie Mortenson
Hellboy;Guillermo del Toro;2004;John Hurt;Selma Blair
Pan's Labyrinth;Guillermo del Toro;2006;Reyes Abades;Asun Arretxe
Pacific Rim;Guillermo del Toro;2013;David Arnott;Cathy Cavadini
The Shape of Water;Guillermo del Toro;2017;Glenn Miller;Robin D. Cook
Chinatown;Roman Polanski;1974;Jack Nicholson;Fritzi Burr
The Tenant;Roman Polanski;1976;Bruno de Keyzer;Florence Blot
The Ghost Writer;Roman Polanski;2010;Denis Behnke;Desirée Erasmus
Carnage;Roman Polanski;2011;Pascal Delaunay;Tanya Lopert
The Deadly Invention;Karel Zeman;1958;Arnost Navrátil;Jana Zatloukalová
The Outrageous Baron Munchausen;Karel Zeman;1962;Vítezslav Cerný;Nadezda Blazícková
Bláznova kronika;Karel Zeman;1964;Jiri Budin;Eva Senková
Na komete;Karel Zeman;1970;Hanus Bor;Zdena Bronislavská
Bound;Lilly Wachowski;1996;Joe Pantoliano;Gina Gershon
The Matrix;Lilly Wachowski;1999;Keanu Reeves;Carrie-Anne Moss
The Matrix Reloaded;Lilly Wachowski;2003;Keanu Reeves;Jada Pinkett Smith
Cloud Atlas;Lilly Wachowski;2012;Stefan Arndt;Doona Bae
House of 1000 Corpses;Rob Zombie;2003;Chad Bannon;Karen Black
Halloween;Rob Zombie;2007;Malcolm McDowell;Sybil Danning
The Devil's Rejects;Rob Zombie;2005;William Forsythe;P.J. Soles
Grindhouse;Rob Zombie;2007;Naveen Andrews;Rose McGowan
The Rock;Michael Bay;1996;Nicolas Cage;Vanessa Marcil
Armageddon;Michael Bay;1998;John Denver;Liv Tyler
Transformers: Revenge of the Fallen;Michael Bay;2009;Ben Hernandez Bray;Grey Griffin
Transformers: Age of Extinction;Michael Bay;2014;Kelsey Grammer;Jody Haselbarth
The Shawshank Redemption;Frank Darabont;1994;Stephen King;Gundula Janowitz
The Green Mile;Frank Darabont;1999;Stephen King;Bonnie Hunt
The Mist;Frank Darabont;2007;Julio Cesar Cedillo;Marcia Gay Harden
The Walking Dead;Frank Darabont;2010;Norman Reedus;Donzaleigh Abernathy
Ball Lightning;Ladislav Smoljak;1979;Boris Halmi;Alexandra Korytová
Jára Cimrman Lying, Sleeping;Ladislav Smoljak;1983;Petr Brukner;Linda Drevikovská
Dissolved and Effused;Ladislav Smoljak;1985;Milan Konecný;Miloslava Ebrová
An Uncertain Season;Ladislav Smoljak;1988;Petr Capek;Drahomíra Fialková
Breaking the Waves;Lars von Trier;1996;Robby Müller;Katrin Cartlidge
Dancer in the Dark;Lars von Trier;2000;Joel Grey;Catherine Deneuve
Dogville;Lars von Trier;2003;Ulf Andersson;Holley Chant
Melancholia;Lars von Trier;2011;James Cagnard;Charlotte Gainsbourg
